state,pincode
Andhra Pradesh,530029
Andhra Pradesh,522402
Andhra Pradesh,522401
Andhra Pradesh,517390
Andhra Pradesh,517132
Andhra Pradesh,516504
Andhra Pradesh,524131
Andhra Pradesh,524142
Andhra Pradesh,515331
Andhra Pradesh,522316
Andhra Pradesh,532406
Andhra Pradesh,516004
Andhra Pradesh,531023
Andhra Pradesh,531022
Andhra Pradesh,533244
Andhra Pradesh,531021
Andhra Pradesh,533241
Andhra Pradesh,524305
Andhra Pradesh,531020
Andhra Pradesh,531116
Andhra Pradesh,531002
Andhra Pradesh,515581
Andhra Pradesh,531001
Andhra Pradesh,531114
Andhra Pradesh,533240
Andhra Pradesh,517002
Andhra Pradesh,524402
Andhra Pradesh,533343
Andhra Pradesh,535578
Andhra Pradesh,535534
Andhra Pradesh,535573
Andhra Pradesh,515321
Andhra Pradesh,533242
Andhra Pradesh,533201
Andhra Pradesh,535527
Andhra Pradesh,535522
Andhra Pradesh,516401
Andhra Pradesh,522411
Andhra Pradesh,533126
Andhra Pradesh,533237
Andhra Pradesh,516270
Andhra Pradesh,516355
Andhra Pradesh,535502
Andhra Pradesh,535501
Andhra Pradesh,535280
Andhra Pradesh,535273
Andhra Pradesh,530032
Andhra Pradesh,524313
Andhra Pradesh,518463
Andhra Pradesh,524401
Andhra Pradesh,523292
Andhra Pradesh,524410
Andhra Pradesh,523291
Andhra Pradesh,520015
Andhra Pradesh,521402
Andhra Pradesh,524311
Andhra Pradesh,524310
Andhra Pradesh,521401
Andhra Pradesh,535270
Andhra Pradesh,535260
Andhra Pradesh,524309
Andhra Pradesh,522508
Andhra Pradesh,535240
Andhra Pradesh,531117
Andhra Pradesh,522408
Andhra Pradesh,516356
Andhra Pradesh,524124
Andhra Pradesh,523286
Andhra Pradesh,530049
Andhra Pradesh,524403
Andhra Pradesh,533249
Andhra Pradesh,532402
Andhra Pradesh,515003
Andhra Pradesh,516152
Andhra Pradesh,517403
Andhra Pradesh,533236
Andhra Pradesh,518348
Andhra Pradesh,532322
Andhra Pradesh,532312
Andhra Pradesh,532292
Andhra Pradesh,533125
Andhra Pradesh,517401
Andhra Pradesh,532291
Andhra Pradesh,532290
Andhra Pradesh,518323
Andhra Pradesh,518313
Andhra Pradesh,517391
Andhra Pradesh,532122
Andhra Pradesh,532284
Andhra Pradesh,518333
Andhra Pradesh,534338
Andhra Pradesh,532201
Andhra Pradesh,517172
Andhra Pradesh,517126
Andhra Pradesh,524308
Andhra Pradesh,533250
Andhra Pradesh,524307
Andhra Pradesh,521211
Andhra Pradesh,521207
Andhra Pradesh,521202
Andhra Pradesh,524406
Andhra Pradesh,515445
Andhra Pradesh,533252
Andhra Pradesh,533253
Andhra Pradesh,533233
Andhra Pradesh,534331
Andhra Pradesh,534330
Andhra Pradesh,534329
Andhra Pradesh,521246
Andhra Pradesh,517101
Andhra Pradesh,515402
Andhra Pradesh,530035
Andhra Pradesh,516431
Andhra Pradesh,516421
Andhra Pradesh,517192
Andhra Pradesh,533124
Andhra Pradesh,521001
Andhra Pradesh,516359
Andhra Pradesh,534326
Andhra Pradesh,524304
Andhra Pradesh,518006
Andhra Pradesh,521002
Andhra Pradesh,524132
Andhra Pradesh,518005
Andhra Pradesh,517642
Andhra Pradesh,524320
Andhra Pradesh,515305
Andhra Pradesh,522315
Andhra Pradesh,523181
Andhra Pradesh,515415
Andhra Pradesh,524239
Andhra Pradesh,517237
Andhra Pradesh,524321
Andhra Pradesh,516216
Andhra Pradesh,516247
Andhra Pradesh,521003
Andhra Pradesh,523180
Andhra Pradesh,524322
Andhra Pradesh,524323
Andhra Pradesh,534324
Andhra Pradesh,517352
Andhra Pradesh,516257
Andhra Pradesh,521201
Andhra Pradesh,524342
Andhra Pradesh,515002
Andhra Pradesh,516390
Andhra Pradesh,521190
Andhra Pradesh,534340
Andhra Pradesh,534281
